year,month,crop_type,soil_type,region,season,rainfall_mm,farmer_land_size_acres,pest_pressure,soil_fertility,crop_stage,previous_input_usage
2018,10,Rice,Laterite,Maharashtra,Kharif,847.79,4.44,Low,High,Growth,Urea
2016,4,Rice,Alluvial,Tamil Nadu,Kharif,1633.25,13.8,Low,High,Growth,Urea
2019,7,Rice,Red,West Bengal,Kharif,1663.21,19.45,Low,Low,Growth,Urea
2018,2,Rice,Laterite,Gujarat,Kharif,1493.61,8.85,Low,High,Growth,Urea
2016,11,Rice,Laterite,Tamil Nadu,Kharif,845.68,9.09,Low,Low,Growth,Urea
2020,7,Rice,Laterite,Karnataka,Kharif,1318.28,5.08,Low,Low,Growth,Urea
2019,6,Rice,Sandy,Odisha,Kharif,1461.16,13.78,Low,High,Growth,Urea
2019,8,Rice,Sandy,Punjab,Kharif,1327.34,12.58,Low,Low,Growth,Urea
2019,12,Rice,Laterite,West Bengal,Kharif,928.46,7.67,Low,Medium,Growth,Urea
2018,1,Rice,Black,Kerala,Kharif,1939.3,18.35,Medium,High,Growth,Urea
2020,12,Rice,Alluvial,Uttar Pradesh,Kharif,1741.24,15.88,High,Medium,Growth,Urea
2020,4,Rice,Laterite,Rajasthan,Kharif,1361.19,5.8,Medium,High,Growth,Urea
2020,12,Rice,Sandy,Gujarat,Kharif,1912.3,13.59,Low,Low,Growth,Urea
2017,3,Rice,Laterite,Bihar,Kharif,915.9,4.69,High,Medium,Growth,Urea
2025,5,Rice,Alluvial,Andhra Pradesh,Kharif,1230.67,2.57,Medium,Low,Growth,Urea
2018,11,Rice,Laterite,Tamil Nadu,Kharif,1969.79,7.31,High,High,Growth,Urea
2018,7,Rice,Alluvial,Andhra Pradesh,Kharif,1224.93,15.58,Medium,Low,Growth,Urea
2016,5,Rice,Black,Madhya Pradesh,Kharif,823.45,6.47,Low,High,Growth,Urea
2019,7,Rice,Sandy,Madhya Pradesh,Kharif,1280.6,15.78,Medium,High,Growth,Urea
2023,9,Rice,Black,Haryana,Kharif,1512.14,12.5,Low,Low,Growth,Urea
2017,3,Rice,Red,Rajasthan,Kharif,803.77,13.7,Medium,Medium,Growth,Urea
2021,12,Rice,Laterite,Karnataka,Kharif,1610.8,7.61,Medium,Low,Growth,Urea
2018,6,Rice,Laterite,Madhya Pradesh,Kharif,1978.45,14.71,Low,Medium,Growth,Urea
2022,9,Rice,Alluvial,Odisha,Kharif,1972.25,2.24,Low,High,Growth,Urea
2016,11,Rice,Red,Maharashtra,Kharif,1946.07,17.98,Medium,High,Growth,Urea
2023,11,Rice,Alluvial,Assam,Kharif,1738.67,0.67,Medium,High,Growth,Urea
2020,9,Rice,Black,West Bengal,Kharif,1575.64,13.63,Medium,Medium,Growth,Urea
2023,9,Rice,Laterite,West Bengal,Kharif,1813.47,14.59,Low,Medium,Growth,Urea
2019,5,Rice,Red,Gujarat,Kharif,1516.83,8.59,Medium,Low,Growth,Urea
2020,6,Rice,Alluvial,Rajasthan,Kharif,1333.17,4.57,High,Low,Growth,Urea
2021,3,Rice,Black,Jharkhand,Kharif,1003.04,10.65,Medium,High,Growth,Urea
2025,2,Rice,Black,Punjab,Kharif,1027.64,16.19,Medium,Medium,Growth,Urea
2024,11,Rice,Red,Assam,Kharif,1796.74,2.72,Low,High,Growth,Urea
2025,7,Rice,Alluvial,Tamil Nadu,Kharif,1167.44,9.84,Low,Medium,Growth,Urea
2020,8,Rice,Laterite,Jharkhand,Kharif,1811.82,11.51,High,Medium,Growth,Urea
2023,6,Rice,Laterite,Haryana,Kharif,853.24,8.18,Low,Medium,Growth,Urea
2020,6,Rice,Laterite,Haryana,Kharif,1784.7,9.78,Low,High,Growth,Urea
2024,11,Rice,Red,Bihar,Kharif,1847.76,14.88,Medium,High,Growth,Urea
2020,1,Rice,Alluvial,Kerala,Kharif,1829.54,4.19,Medium,Low,Growth,Urea
2019,1,Rice,Sandy,Haryana,Kharif,1010.02,1.8,Low,High,Growth,Urea
2022,5,Rice,Red,Andhra Pradesh,Kharif,1632.13,12.42,High,Medium,Growth,Urea
2017,10,Rice,Alluvial,Bihar,Kharif,1807.2,1.79,Medium,Low,Growth,Urea
2017,5,Rice,Sandy,Andhra Pradesh,Kharif,1276.4,8.0,Medium,Medium,Growth,Urea
2020,5,Rice,Black,Gujarat,Kharif,1817.73,17.48,Low,High,Growth,Urea
2016,4,Rice,Laterite,Bihar,Kharif,1317.15,12.24,High,Medium,Growth,Urea
2016,6,Rice,Laterite,Assam,Kharif,1274.76,14.45,Low,High,Growth,Urea
2023,1,Rice,Laterite,Punjab,Kharif,967.49,8.55,Medium,Medium,Growth,Urea
2020,5,Rice,Black,Assam,Kharif,1097.14,1.72,Low,Low,Growth,Urea
2020,7,Rice,Black,Tamil Nadu,Kharif,1599.07,4.52,Low,Low,Growth,Urea
2023,10,Rice,Black,Haryana,Kharif,1337.0,0.89,Low,Medium,Growth,Urea
2023,11,Rice,Sandy,Telangana,Kharif,1858.56,13.96,Medium,Low,Growth,Urea
2019,10,Rice,Laterite,Punjab,Kharif,1522.85,3.92,Medium,Medium,Growth,Urea
2025,10,Rice,Laterite,Kerala,Kharif,1160.26,9.92,High,Low,Growth,Urea
2018,8,Rice,Alluvial,Assam,Kharif,1434.53,17.92,Low,Medium,Growth,Urea
2023,7,Rice,Black,Haryana,Kharif,1538.38,1.41,Low,Low,Growth,Urea
2024,4,Rice,Red,Assam,Kharif,1062.15,12.62,Medium,High,Growth,Urea
2021,6,Rice,Laterite,Andhra Pradesh,Kharif,966.89,2.86,High,Low,Growth,Urea
2025,2,Rice,Black,Telangana,Kharif,1441.17,10.04,High,High,Growth,Urea
2024,1,Rice,Red,West Bengal,Kharif,1881.28,13.77,Low,High,Growth,Urea
2024,7,Rice,Laterite,Haryana,Kharif,1690.39,2.68,Medium,High,Growth,Urea
2021,10,Rice,Sandy,Tamil Nadu,Kharif,1009.7,15.87,High,High,Growth,Urea
2017,8,Rice,Laterite,Gujarat,Kharif,1393.89,10.98,Medium,High,Growth,Urea
2022,11,Rice,Black,Bihar,Kharif,1152.04,17.84,High,High,Growth,Urea
2017,9,Rice,Laterite,Karnataka,Kharif,1352.1,7.1,High,Medium,Growth,Urea
2022,10,Rice,Sandy,Telangana,Kharif,1133.25,1.03,Low,Medium,Growth,Urea
2025,4,Rice,Red,West Bengal,Kharif,823.57,9.63,Low,Medium,Growth,Urea
2016,7,Rice,Sandy,Karnataka,Kharif,1250.15,2.63,Low,Medium,Growth,Urea
2022,12,Rice,Red,Bihar,Kharif,1724.31,18.76,High,High,Growth,Urea
2021,6,Rice,Red,Telangana,Kharif,1801.18,9.46,Low,High,Growth,Urea
2024,1,Rice,Alluvial,Tamil Nadu,Kharif,902.36,10.81,High,Low,Growth,Urea
2017,12,Rice,Alluvial,Bihar,Kharif,1851.94,15.39,High,High,Growth,Urea
2017,3,Rice,Red,Maharashtra,Kharif,1417.36,5.47,High,High,Growth,Urea
2017,1,Rice,Sandy,Jharkhand,Kharif,1322.49,14.17,Low,High,Growth,Urea
2017,7,Rice,Alluvial,Gujarat,Kharif,1417.71,16.1,Low,High,Growth,Urea
2019,10,Rice,Laterite,Maharashtra,Kharif,1956.13,10.6,High,Medium,Growth,Urea
2021,7,Rice,Laterite,Chhattisgarh,Kharif,1807.36,10.2,Low,Medium,Growth,Urea
2025,6,Rice,Black,Assam,Kharif,1045.94,1.85,Medium,Medium,Growth,Urea
2020,4,Rice,Laterite,Maharashtra,Kharif,1918.62,5.62,Medium,Low,Growth,Urea
2016,2,Rice,Laterite,West Bengal,Kharif,1039.99,5.94,Low,Low,Growth,Urea
2021,8,Rice,Sandy,Andhra Pradesh,Kharif,1040.16,17.5,High,Medium,Growth,Urea
2017,3,Rice,Sandy,Gujarat,Kharif,873.7,6.08,High,Medium,Growth,Urea
2017,11,Rice,Sandy,Karnataka,Kharif,883.44,3.27,Low,Medium,Growth,Urea
2022,6,Rice,Alluvial,Odisha,Kharif,995.92,19.2,Low,Medium,Growth,Urea
2023,12,Rice,Laterite,Karnataka,Kharif,1907.46,18.3,High,High,Growth,Urea
2018,1,Rice,Red,Gujarat,Kharif,1319.99,11.4,Low,Medium,Growth,Urea
2019,6,Rice,Sandy,Bihar,Kharif,1437.81,9.57,High,Medium,Growth,Urea
2024,12,Rice,Alluvial,Chhattisgarh,Kharif,1704.92,16.44,Low,Low,Growth,Urea
2019,2,Rice,Laterite,Madhya Pradesh,Kharif,1274.39,5.09,Low,Low,Growth,Urea
2016,2,Rice,Red,Telangana,Kharif,1782.12,9.8,Medium,High,Growth,Urea
2017,11,Rice,Laterite,Assam,Kharif,1818.94,18.6,Medium,Low,Growth,Urea
2024,7,Rice,Red,Telangana,Kharif,1958.27,15.7,Medium,High,Growth,Urea
2017,6,Rice,Red,Chhattisgarh,Kharif,1221.19,3.08,Medium,Medium,Growth,Urea
2024,1,Rice,Sandy,Odisha,Kharif,1466.58,14.12,Low,Medium,Growth,Urea
2022,12,Rice,Laterite,Chhattisgarh,Kharif,893.32,15.84,High,Medium,Growth,Urea
2019,6,Rice,Alluvial,Chhattisgarh,Kharif,955.06,2.69,High,High,Growth,Urea
2025,6,Rice,Laterite,Telangana,Kharif,953.94,12.85,Low,Medium,Growth,Urea
2025,6,Rice,Black,Kerala,Kharif,1621.33,9.25,High,Low,Growth,Urea
2025,1,Rice,Laterite,Rajasthan,Kharif,1704.75,13.99,Medium,Medium,Growth,Urea
2017,8,Rice,Sandy,Uttar Pradesh,Kharif,1547.91,8.27,Medium,Medium,Growth,Urea
2021,9,Rice,Red,Assam,Kharif,1756.12,16.62,High,Medium,Growth,Urea
2019,1,Rice,Laterite,West Bengal,Kharif,824.19,9.49,Low,High,Growth,Urea
2018,5,Rice,Sandy,Haryana,Kharif,1766.17,6.32,Low,Low,Growth,Urea
2022,2,Rice,Alluvial,Karnataka,Kharif,1101.66,17.91,Medium,High,Growth,Urea
2016,2,Rice,Sandy,Madhya Pradesh,Kharif,1565.68,17.87,Low,Medium,Growth,Urea
2024,6,Rice,Laterite,Madhya Pradesh,Kharif,843.84,8.03,Low,High,Growth,Urea
2016,5,Rice,Laterite,Tamil Nadu,Kharif,1808.85,5.62,Medium,Medium,Growth,Urea
2024,2,Rice,Sandy,Kerala,Kharif,1508.98,10.06,Low,High,Growth,Urea
2021,1,Rice,Laterite,Jharkhand,Kharif,1024.17,3.58,Medium,High,Growth,Urea
2025,8,Rice,Black,Chhattisgarh,Kharif,1696.56,4.48,Medium,Low,Growth,Urea
2025,11,Rice,Laterite,Andhra Pradesh,Kharif,843.42,1.96,Medium,High,Growth,Urea
2019,4,Rice,Alluvial,Karnataka,Kharif,1888.01,10.5,Medium,High,Growth,Urea
2016,7,Rice,Black,Bihar,Kharif,1036.46,1.18,Medium,High,Growth,Urea
2020,1,Rice,Laterite,Chhattisgarh,Kharif,1759.9,2.38,Medium,Low,Growth,Urea
2017,6,Rice,Black,Uttar Pradesh,Kharif,1286.7,18.39,Low,Medium,Growth,Urea
2017,8,Rice,Laterite,Andhra Pradesh,Kharif,930.21,2.38,Low,High,Growth,Urea
2018,5,Rice,Alluvial,Assam,Kharif,1371.07,11.3,Medium,Low,Growth,Urea
2023,12,Rice,Red,Gujarat,Kharif,1296.8,10.13,Medium,High,Growth,Urea
2018,11,Rice,Red,Uttar Pradesh,Kharif,1359.41,8.78,Low,Low,Growth,Urea
2025,2,Rice,Alluvial,Maharashtra,Kharif,968.3,17.1,Medium,Low,Growth,Urea
2023,12,Rice,Black,Rajasthan,Kharif,919.53,1.61,Medium,Low,Growth,Urea
2020,9,Rice,Black,Punjab,Kharif,1757.85,5.23,Low,Medium,Growth,Urea
2017,11,Rice,Sandy,Gujarat,Kharif,889.51,9.6,Medium,Medium,Growth,Urea
2017,6,Rice,Sandy,Bihar,Kharif,898.78,5.84,High,Medium,Growth,Urea
2017,10,Rice,Sandy,Gujarat,Kharif,1389.42,7.46,Low,Medium,Growth,Urea
2016,7,Rice,Red,Telangana,Kharif,1056.94,6.21,Low,High,Growth,Urea
2025,5,Rice,Black,Jharkhand,Kharif,1404.9,19.98,Medium,Low,Growth,Urea
2016,12,Rice,Laterite,Madhya Pradesh,Kharif,1101.65,10.53,High,Low,Growth,Urea
2020,5,Rice,Red,Punjab,Kharif,824.62,16.35,High,Medium,Growth,Urea
2016,6,Rice,Red,Rajasthan,Kharif,1257.12,17.85,High,Medium,Growth,Urea
2020,2,Rice,Black,Bihar,Kharif,1776.51,19.66,Medium,Low,Growth,Urea
2020,2,Rice,Laterite,Kerala,Kharif,890.03,15.16,Medium,Medium,Growth,Urea
2018,4,Rice,Alluvial,Rajasthan,Kharif,1162.37,12.34,Low,High,Growth,Urea
2025,7,Rice,Black,Jharkhand,Kharif,921.02,5.49,High,Medium,Growth,Urea
2025,12,Rice,Red,Haryana,Kharif,891.02,18.28,Low,Low,Growth,Urea
2022,12,Rice,Laterite,Punjab,Kharif,1152.3,2.88,Medium,Low,Growth,Urea
2023,3,Rice,Sandy,Maharashtra,Kharif,1064.57,11.01,High,High,Growth,Urea
2016,12,Rice,Laterite,Kerala,Kharif,1818.73,3.88,Medium,High,Growth,Urea
2017,2,Rice,Alluvial,Punjab,Kharif,1439.57,14.99,High,High,Growth,Urea
2020,2,Rice,Laterite,Uttar Pradesh,Kharif,1643.67,5.03,High,Low,Growth,Urea
2018,9,Rice,Sandy,Haryana,Kharif,1586.51,3.05,Low,Medium,Growth,Urea
2020,8,Rice,Red,Chhattisgarh,Kharif,1162.14,9.63,Low,High,Growth,Urea
2017,11,Rice,Laterite,Madhya Pradesh,Kharif,965.28,5.14,Low,Low,Growth,Urea
2016,7,Rice,Laterite,Madhya Pradesh,Kharif,1502.94,2.66,Low,Low,Growth,Urea
2021,4,Rice,Black,Madhya Pradesh,Kharif,1360.89,14.84,Low,Medium,Growth,Urea
2024,2,Rice,Laterite,Uttar Pradesh,Kharif,1607.25,10.22,Low,Medium,Growth,Urea
2016,7,Rice,Laterite,Gujarat,Kharif,1567.36,4.38,Low,Medium,Growth,Urea
2020,10,Rice,Laterite,Bihar,Kharif,1029.33,15.27,High,High,Growth,Urea
2019,4,Rice,Black,Odisha,Kharif,807.64,10.55,High,High,Growth,Urea
2017,7,Rice,Black,Telangana,Kharif,1249.83,3.92,High,Low,Growth,Urea
2020,12,Rice,Sandy,Kerala,Kharif,1367.09,1.37,Medium,Low,Growth,Urea
2023,7,Rice,Laterite,Tamil Nadu,Kharif,1156.15,1.22,Medium,High,Growth,Urea
2022,3,Rice,Alluvial,Madhya Pradesh,Kharif,862.04,15.77,Low,High,Growth,Urea
